Compiling 501 files (.ex)
[profile] lib/foo_690.ex compiled in 323ms
[profile] lib/foo_820.ex compiled in 429ms
[profile] lib/foo_1320.ex compiled in 886ms
[profile] lib/foo_1930.ex compiled in 1646ms
[profile] lib/foo_2380.ex compiled in 1926ms
[profile] lib/foo_320.ex compiled in 154ms
[profile] lib/foo_30.ex compiled in 62ms
[profile] lib/foo_2430.ex compiled in 2014ms
[profile] lib/foo_2790.ex compiled in 2486ms
[profile] lib/foo_3020.ex compiled in 2673ms
[profile] lib/foo_1650.ex compiled in 1134ms
[profile] lib/foo_2720.ex compiled in 2376ms
[profile] lib/foo_3590.ex compiled in 3244ms
[profile] lib/foo_1940.ex compiled in 1325ms
[profile] lib/foo_1630.ex compiled in 1109ms
[profile] lib/foo_1220.ex compiled in 732ms
[profile] lib/foo_2610.ex compiled in 1933ms
[profile] lib/foo_1210.ex compiled in 662ms
[profile] lib/foo_740.ex compiled in 346ms
[profile] lib/foo_4900.ex compiled in 4569ms
[profile] lib/foo_1560.ex compiled in 1235ms
[profile] lib/foo_1110.ex compiled in 827ms
[profile] lib/foo_1460.ex compiled in 1184ms
[profile] lib/foo_700.ex compiled in 276ms
[profile] lib/foo_2710.ex compiled in 2336ms
[profile] lib/foo_1530.ex compiled in 1099ms
[profile] lib/foo_4230.ex compiled in 4223ms
[profile] lib/foo_1180.ex compiled in 896ms
[profile] lib/foo_2840.ex compiled in 2972ms
[profile] lib/foo_1370.ex compiled in 872ms
[profile] lib/foo_4910.ex compiled in 5103ms
[profile] lib/foo_2940.ex compiled in 2794ms
[profile] lib/foo_2770.ex compiled in 3049ms
[profile] lib/foo_120.ex compiled in 113ms
[profile] lib/foo_1580.ex compiled in 1376ms
[profile] lib/foo_3340.ex compiled in 3603ms
[profile] lib/foo_1060.ex compiled in 927ms
[profile] lib/foo_4410.ex compiled in 5532ms
[profile] lib/foo_2500.ex compiled in 2773ms
[profile] lib/foo_920.ex compiled in 840ms
[profile] lib/foo_2560.ex compiled in 2454ms
[profile] lib/foo_3990.ex compiled in 4969ms
[profile] lib/foo_3980.ex compiled in 5182ms
[profile] lib/foo_3540.ex compiled in 4414ms
[profile] lib/foo_2890.ex compiled in 3394ms
[profile] lib/foo_730.ex compiled in 492ms
[profile] lib/foo_790.ex compiled in 400ms
[profile] lib/foo_3140.ex compiled in 3842ms
[profile] lib/foo_480.ex compiled in 238ms
[profile] lib/foo_360.ex compiled in 232ms
[profile] lib/foo_3690.ex compiled in 4820ms
[profile] lib/foo_4300.ex compiled in 5341ms
[profile] lib/foo_570.ex compiled in 311ms
[profile] lib/foo_3560.ex compiled in 4477ms
[profile] lib/foo_2360.ex compiled in 2692ms
[profile] lib/foo_310.ex compiled in 132ms
[profile] lib/foo_1850.ex compiled in 1520ms
[profile] lib/foo_3000.ex compiled in 3222ms
[profile] lib/foo_4610.ex compiled in 6915ms
[profile] lib/foo_4130.ex compiled in 5637ms
[profile] lib/foo_1300.ex compiled in 1149ms
[profile] lib/foo_1840.ex compiled in 1627ms
[profile] lib/foo_1420.ex compiled in 1135ms
[profile] lib/foo_220.ex compiled in 128ms
[profile] lib/foo_1640.ex compiled in 1542ms
[profile] lib/foo_4540.ex compiled in 5790ms
[profile] lib/foo_230.ex compiled in 244ms
[profile] lib/foo_3290.ex compiled in 3300ms
[profile] lib/foo_1960.ex compiled in 1739ms
[profile] lib/foo_3230.ex compiled in 3293ms
[profile] lib/foo_750.ex compiled in 555ms
[profile] lib/foo_1440.ex compiled in 1466ms
[profile] lib/foo_1520.ex compiled in 1649ms
[profile] lib/foo_2550.ex compiled in 2750ms
[profile] lib/foo_3930.ex compiled in 5179ms
[profile] lib/foo_600.ex compiled in 332ms
[profile] lib/foo_430.ex compiled in 237ms
[profile] lib/foo_2680.ex compiled in 2848ms
[profile] lib/foo_2010.ex compiled in 1820ms
[profile] lib/foo_810.ex compiled in 472ms
[profile] lib/foo_4200.ex compiled in 5219ms
[profile] lib/foo_2960.ex compiled in 2688ms
[profile] lib/foo_3600.ex compiled in 4161ms
[profile] lib/foo_500.ex compiled in 337ms
[profile] lib/foo_1750.ex compiled in 1636ms
[profile] lib/foo_4280.ex compiled in 5355ms
[profile] lib/foo_520.ex compiled in 411ms
[profile] lib/foo_2660.ex compiled in 2638ms
[profile] lib/foo_3830.ex compiled in 4645ms
[profile] lib/foo_2150.ex compiled in 2375ms
[profile] lib/foo_2390.ex compiled in 2572ms
[profile] lib/foo_3730.ex compiled in 4804ms
[profile] lib/foo_400.ex compiled in 202ms
[profile] lib/foo_1410.ex compiled in 1057ms
[profile] lib/foo_3750.ex compiled in 3812ms
[profile] lib/foo_4330.ex compiled in 7125ms
[profile] lib/foo_3710.ex compiled in 5229ms
[profile] lib/foo_2760.ex compiled in 2333ms
[profile] lib/foo_4270.ex compiled in 6007ms
[profile] lib/foo_1600.ex compiled in 1692ms
[profile] lib/foo_880.ex compiled in 724ms
[profile] lib/foo_1020.ex compiled in 830ms
[profile] lib/foo_2640.ex compiled in 2740ms
[profile] lib/foo_2420.ex compiled in 2635ms
[profile] lib/foo_3760.ex compiled in 4728ms
[profile] lib/foo_4460.ex compiled in 5527ms
[profile] lib/foo_370.ex compiled in 190ms
[profile] lib/foo_2220.ex compiled in 2200ms
[profile] lib/foo_680.ex compiled in 419ms
[profile] lib/foo_4950.ex compiled in 6488ms
[profile] lib/foo_3820.ex compiled in 5143ms
[profile] lib/foo_4770.ex compiled in 5752ms
[profile] lib/foo_3770.ex compiled in 5704ms
[profile] lib/foo_3640.ex compiled in 4162ms
[profile] lib/foo_4080.ex compiled in 4439ms
[profile] lib/foo_60.ex compiled in 95ms
[profile] lib/foo_2570.ex compiled in 2612ms
[profile] lib/foo_4090.ex compiled in 5144ms
[profile] lib/foo_3160.ex compiled in 3299ms
[profile] lib/foo_4380.ex compiled in 6223ms
